Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	From
31	Spectrogram 1	1	147593.567937500	147593.663937500	20.0	500.0	1.0000	Band Limited Energy Detector
32	Waveform 1	1	147663.583937500	147663.839937500	20.0	500.0	1.0000	Band Limited Energy Detector
32	Spectrogram 1	1	147663.583937500	147663.839937500	20.0	500.0	1.0000	Band Limited Energy Detector
33	Waveform 1	1	147720.895937500	147721.119937500	20.0	500.0	1.0000	Band Limited Energy Detector
33	Spectrogram 1	1	147720.895937500	147721.119937500	20.0	500.0	1.0000	Band Limited Energy Detector
34	Waveform 1	1	147781.407937500	147781.663937500	20.0	500.0	1.0000	Band Limited Energy Detector
34	Spectrogram 1	1	147781.407937500	147781.663937500	20.0	500.0	1.0000	Band Limited Energy Detector
35	Waveform 1	1	148103.423937500	148103.679937500	20.0	500.0	1.0000	Band Limited Energy Detector
35	Spectrogram 1	1	148103.423937500	148103.679937500	20.0	500.0	1.0000	Band Limited Energy Detector
36	Waveform 1	1	150208.415937500	150208.511937500	20.0	500.0	1.0000	Band Limited Energy Detector
36	Spectrogram 1	1	150208.415937500	150208.511937500	20.0	500.0	1.0000	Band Limited Energy Detector
37	Waveform 1	1	150404.095937500	150404.383937500	20.0	500.0	1.0000	Band Limited Energy Detector
37	Spectrogram 1	1	150404.095937500	150404.383937500	20.0	500.0	1.0000	Band Limited Energy Detector
38	Waveform 1	1	150458.335937500	150458.527937500	20.0	500.0	0.8333	Band Limited Energy Detector
38	Spectrogram 1	1	150458.335937500	150458.527937500	20.0	500.0	0.8333	Band Limited Energy Detector
39	Waveform 1	1	150482.015937500	150482.239937500	20.0	500.0	1.0000	Band Limited Energy Detector
39	Spectrogram 1	1	150482.015937500	150482.239937500	20.0	500.0	1.0000	Band Limited Energy Detector
40	Waveform 1	1	150513.599937500	150513.695937500	20.0	500.0	1.0000	Band Limited Energy Detector
40	Spectrogram 1	1	150513.599937500	150513.695937500	20.0	500.0	1.0000	Band Limited Energy Detector
41	Waveform 1	1	150753.631937500	150753.759937500	20.0	500.0	1.0000	Band Limited Energy Detector
41	Spectrogram 1	1	150753.631937500	150753.759937500	20.0	500.0	1.0000	Band Limited Energy Detector
42	Waveform 1	1	150807.071937500	150807.167937500	20.0	500.0	1.0000	Band Limited Energy Detector
42	Spectrogram 1	1	150807.071937500	150807.167937500	20.0	500.0	1.0000	Band Limited Energy Detector
43	Waveform 1	1	150827.775937500	150827.967937500	20.0	500.0	1.0000	Band Limited Energy Detector
43	Spectrogram 1	1	150827.775937500	150827.967937500	20.0	500.0	1.0000	Band Limited Energy Detector
44	Waveform 1	1	150978.271937500	150978.431937500	20.0	500.0	1.0000	Band Limited Energy Detector
44	Spectrogram 1	1	150978.271937500	150978.431937500	20.0	500.0	1.0000	Band Limited Energy Detector
45	Waveform 1	1	151001.343937500	151001.503937500	20.0	500.0	1.0000	Band Limited Energy Detector
45	Spectrogram 1	1	151001.343937500	151001.503937500	20.0	500.0	1.0000	Band Limited Energy Detector
46	Waveform 1	1	151033.663937500	151033.887937500	20.0	500.0	1.0000	Band Limited Energy Detector
46	Spectrogram 1	1	151033.663937500	151033.887937500	20.0	500.0	1.0000	Band Limited Energy Detector
47	Waveform 1	1	151047.039937500	151047.167937500	20.0	500.0	1.0000	Band Limited Energy Detector
47	Spectrogram 1	1	151047.039937500	151047.167937500	20.0	500.0	1.0000	Band Limited Energy Detector
48	Waveform 1	1	151064.639937500	151065.087937500	20.0	500.0	1.0000	Band Limited Energy Detector
48	Spectrogram 1	1	151064.639937500	151065.087937500	20.0	500.0	1.0000	Band Limited Energy Detector
49	Waveform 1	1	151118.463937500	151118.751937500	20.0	500.0	0.7778	Band Limited Energy Detector
49	Spectrogram 1	1	151118.463937500	151118.751937500	20.0	500.0	0.7778	Band Limited Energy Detector
50	Waveform 1	1	151139.007937500	151139.135937500	20.0	500.0	1.0000	Band Limited Energy Detector
50	Spectrogram 1	1	151139.007937500	151139.135937500	20.0	500.0	1.0000	Band Limited Energy Detector
51	Waveform 1	1	151139.743937500	151140.223937500	20.0	500.0	1.0000	Band Limited Energy Detector
51	Spectrogram 1	1	151139.743937500	151140.223937500	20.0	500.0	1.0000	Band Limited Energy Detector
52	Waveform 1	1	151159.263937500	151159.359937500	20.0	500.0	1.0000	Band Limited Energy Detector
52	Spectrogram 1	1	151159.263937500	151159.359937500	20.0	500.0	1.0000	Band Limited Energy Detector
53	Waveform 1	1	151170.815937500	151170.911937500	20.0	500.0	1.0000	Band Limited Energy Detector
53	Spectrogram 1	1	151170.815937500	151170.911937500	20.0	500.0	1.0000	Band Limited Energy Detector
54	Waveform 1	1	151179.423937500	151179.679937500	20.0	500.0	1.0000	Band Limited Energy Detector
54	Spectrogram 1	1	151179.423937500	151179.679937500	20.0	500.0	1.0000	Band Limited Energy Detector
55	Waveform 1	1	151180.447937500	151180.831937500	20.0	500.0	1.0000	Band Limited Energy Detector
55	Spectrogram 1	1	151180.447937500	151180.831937500	20.0	500.0	1.0000	Band Limited Energy Detector
56	Waveform 1	1	151214.079937500	151214.399937500	20.0	500.0	1.0000	Band Limited Energy Detector
